Local time,r_cc,r_oc,rav,rvol,bvol,rvol_m,rvol_p,sjv,sjv_p,sjv_m,rs,rk
2020-02-11,,-0.01036175455846373,0.12841228351429176,0.012346673547208626,0.012112882011188595,0.00948506006262204,0.007904048537919898,-2.7492381101753915e-05,-0.0,-2.7492381101753915e-05,-0.05011437036705235,0.029856126507520786
2020-02-12,0.03406511699952991,0.015982231281584793,0.15348415878512658,0.015780084448497666,0.015932317003822073,0.010655209605844781,0.011639483384464753,2.1944081712744134e-05,2.1944081712744134e-05,0.0,0.001964303188816985,0.04106982271696284
2020-02-13,-0.0031022807236437038,0.010345592957388813,0.13144560981447004,0.013638534968513338,0.013643709634389841,0.008929442488814202,0.010308961777323688,2.6539749765280404e-05,2.6539749765280404e-05,0.0,0.031691851882899275,0.03888427394023864
2020-02-14,0.01390424575515126,0.000593864060901264,0.10525407809132552,0.011152583204068102,0.0108523285327697,0.008254117178319791,0.007499977448647963,-1.188078866320587e-05,-0.0,-1.188078866320587e-05,-0.03358053410382402,0.04953562576664199
2020-02-17,0.001626530014058332,0.005656394806455447,0.04247664210401086,0.005587816019754197,0.0053124326109188795,0.0032524981903308634,0.004543670695870917,1.0066198914410559e-05,1.0066198914410559e-05,0.0,0.09808434279436228,0.05438623005668863
2020-02-18,-0.004119292709248754,0.02154126491008795,0.09912156088074096,0.012388143784747263,0.011852441732258896,0.006830071236592318,0.010335193918579686,6.016636023772082e-05,6.016636023772082e-05,0.0,0.10443616623502586,0.054928723264082206
2020-02-19,0.030051145127118813,0.01291961605012458,0.11315668518966013,0.012322936981713682,0.012325020807457692,0.00792078649665832,0.009440122728526464,2.6377058403997128e-05,2.6377058403997128e-05,0.0,0.03091756318238965,0.04967818597420834
2020-02-20,0.0001862891212541935,-0.005405870439025367,0.12472398258295128,0.012353615794271132,0.012940471037462622,0.00924218504774002,0.008197184805516832,-1.8224145720873174e-05,-0.0,-1.8224145720873174e-05,-0.026492282048032195,0.02891872354451706
2020-02-21,-0.004648956758533277,0.010156954488951946,0.13273381421784564,0.015103273371165614,0.013547427462119562,0.009308873628293655,0.011893432569978242,5.479861006907818e-05,5.479861006907818e-05,0.0,0.09461615341099823,0.06205712401645901
2020-02-24,-0.04089139458788959,-0.0015778558074820107,0.14331168427729266,0.014737849420302287,0.014097119115512731,0.009930120924540983,0.0108902205652364,1.9989602383491166e-05,1.9989602383491166e-05,0.0,0.04027493491245597,0.03500266757110385
2020-02-25,-0.024271120379910062,-0.02798776489327275,0.16641579120086225,0.016718448393419787,0.01665552888613656,0.013058787587720729,0.010439089204630436,-6.155734983897724e-05,-0.0,-6.155734983897724e-05,-0.040667133199231854,0.030222199074753375
2020-02-26,-0.029390035898145615,-0.009030377427783082,0.20786625855002164,0.021836679822865416,0.02223678404695202,0.01654915218359407,0.014246618816076365,-7.090829030517525e-05,-0.0,-7.090829030517525e-05,-0.04779832304509712,0.037293825315086314
2020-02-27,-0.04889816136161003,-0.02075725705808395,0.33970295271957784,0.03254528899124151,0.03419062556485119,0.02297173216575224,0.02305418306573386,3.7948781333137834e-06,3.7948781333137834e-06,0.0,0.016445309298622177,0.026122873153764353
2020-02-28,-0.022698705859155902,-0.007923274129461609,0.3138491538645574,0.03126770142842801,0.030753095883688113,0.0221351711931191,0.022084006630786666,-2.2624548800601594e-06,-0.0,-2.2624548800601594e-06,0.0029837102831782405,0.028409992596649433
2020-03-02,0.047867998657495116,0.04257884669385098,0.279873375990897,0.028543482053293264,0.0284895679565334,0.017404709679601726,0.02262313967369367,0.00020888252966423063,0.00020888252966423063,0.0,0.06707664002020507,0.04140756689712223
2020-03-03,-0.008886126387598468,-0.010590833685547092,0.3655867241484762,0.039096450879421325,0.038821640051748624,0.02640085706074703,0.02883621365271468,0.00013452196428301235,0.00013452196428301235,0.0,0.051542469495552364,0.05431645053546471
2020-03-04,0.002122917685097077,-0.013292661572490783,0.20331044583577199,0.02152766182648648,0.02145444580814186,0.01700611527008802,0.013199707085236484,-0.00011497568944347867,-0.0,-0.00011497568944347867,-0.08077720486346628,0.047860967291234666
2020-03-05,-0.02555981068013018,-0.02303302864545131,0.20326919720976788,0.020969293700534894,0.0219094746691458,0.01599999187630027,0.013554022954739956,-7.228820178405696e-05,-0.0,-7.228820178405696e-05,-0.0338354711974333,0.036998508038052706
2020-03-06,-0.10011666515181546,-0.041681529789600893,0.41042021815537655,0.04606508716046529,0.04877251123413656,0.037118265028047645,0.02728051789114128,-0.0006335389422835054,-0.0,-0.0006335389422835054,-0.1045404948206279,0.05242770940901608
2020-03-09,-0.32041845991551315,-0.059640009951769,0.7864618465715563,0.07845604508037395,0.0769475288499696,0.057784575928959185,0.053068764771417275,-0.0005227634209256297,-0.0,-0.0005227634209256297,-0.0022615177020030033,0.032300505886215844
2020-03-10,0.14270321614612047,0.022512024689336548,0.5206568883838598,0.0517354854018122,0.05032681976191112,0.033172232987588236,0.0397009245280042,0.0004757663669954482,0.0004757663669954482,0.0,0.04805174737327396,0.02974457867708463
2020-03-11,-0.05127061839349057,-0.009658422330734641,0.393832039804107,0.038629424653487586,0.038906889401728664,0.028138722754737736,0.026465916398104923,-9.134298747651604e-05,-0.0,-9.134298747651604e-05,-0.015569781461125047,0.030180150331037978
2020-03-12,-0.06656627480969461,-0.0006783932033202736,0.5557730965294653,0.06301057071755371,0.05814724197020519,0.04251841993410032,0.04650286000300774,0.0003546999547668372,0.0003546999547668372,0.0,0.016350227580183365,0.058215626423469245
